Filename,FieldName,FieldAlias,Type,Length,Scale
DLMCZJ.shp,FID,FID,OID,4,0
DLMCZJ.shp,Shape,Shape,Geometry,0,0
DLMCZJ.shp,MBBSM,MBBSM,Integer,10,0
DLMCZJ.shp,YSDM,YSDM,String,10,0
DLMCZJ.shp,ZJNR,ZJNR,String,60,0
DLMCZJ.shp,ZJZT,ZJZT,String,4,0
DLMCZJ.shp,ZJYS,ZJYS,String,12,0
DLMCZJ.shp,ZJBS,ZJBS,SmallInteger,4,0
DLMCZJ.shp,ZJXZ,ZJXZ,String,1,0
DLMCZJ.shp,ZJXH,ZJXH,String,1,0
DLMCZJ.shp,KD,KD,Double,15,1
DLMCZJ.shp,GD,GD,Double,15,1
DLMCZJ.shp,JG,JG,Single,6,2
DLMCZJ.shp,ZXJXZB,ZXJXZB,Double,15,3
DLMCZJ.shp,ZXJYZB,ZXJYZB,Double,15,3
DLMCZJ.shp,ZJFX,ZJFX,Double,10,6
DMD.shp,FID,FID,OID,4,0
DMD.shp,Shape,Shape,Geometry,0,0
DMD.shp,MBBSM,MBBSM,Integer,10,0
DMD.shp,CPCSMC,CPCSMC,String,60,0
DMD.shp,CPCSDM,CPCSDM,String,6,0
DMD.shp,YSDM,YSDM,String,10,0
DMD.shp,YSMC,YSMC,String,60,0
DMX.shp,FID,FID,OID,4,0
DMX.shp,Shape,Shape,Geometry,0,0
DMX.shp,MBBSM,MBBSM,Integer,10,0
DMX.shp,CPCSMC,CPCSMC,String,60,0
DMX.shp,YSDM,YSDM,String,10,0
DMX.shp,CPCSDM,CPCSDM,String,6,0
DMX.shp,YSMC,YSMC,String,60,0
DMZJ.shp,FID,FID,OID,4,0
DMZJ.shp,Shape,Shape,Geometry,0,0
DMZJ.shp,MBBSM,MBBSM,Integer,10,0
DMZJ.shp,YSDM,YSDM,String,10,0
DMZJ.shp,ZJNR,ZJNR,String,60,0
DMZJ.shp,ZJZT,ZJZT,String,4,0
DMZJ.shp,ZJYS,ZJYS,String,12,0
DMZJ.shp,ZJBS,ZJBS,SmallInteger,4,0
DMZJ.shp,ZJXZ,ZJXZ,String,1,0
DMZJ.shp,ZJXH,ZJXH,String,1,0
DMZJ.shp,KD,KD,Double,15,1
DMZJ.shp,GD,GD,Double,15,1
DMZJ.shp,JG,JG,Single,6,2
DMZJ.shp,ZXJXZB,ZXJXZB,Double,15,3
DMZJ.shp,ZXJYZB,ZXJYZB,Double,15,3
DMZJ.shp,ZJFX,ZJFX,Double,10,6
DWJCD.shp,FID,FID,OID,4,0
DWJCD.shp,Shape,Shape,Geometry,0,0
DWJCD.shp,MBBSM,MBBSM,Integer,10,0
DWJCD.shp,CPCSMC,CPCSMC,String,60,0
DWJCD.shp,CPCSDM,CPCSDM,String,6,0
DWJCD.shp,YSDM,YSDM,String,10,0
DWJCD.shp,YSMC,YSMC,String,60,0
DWJCX.shp,FID,FID,OID,4,0
DWJCX.shp,Shape,Shape,Geometry,0,0
DWJCX.shp,MBBSM,MBBSM,Integer,10,0
DWJCX.shp,CPCSMC,CPCSMC,String,60,0
DWJCX.shp,YSDM,YSDM,String,10,0
DWJCX.shp,CPCSDM,CPCSDM,String,6,0
DWJCX.shp,YSMC,YSMC,String,60,0
DWJCZJ.shp,FID,FID,OID,4,0
DWJCZJ.shp,Shape,Shape,Geometry,0,0
DWJCZJ.shp,MBBSM,MBBSM,Integer,10,0
DWJCZJ.shp,YSDM,YSDM,String,10,0
DWJCZJ.shp,ZJNR,ZJNR,String,60,0
DWJCZJ.shp,ZJZT,ZJZT,String,4,0
